# id cna
16450 0
16642 0
16451 0
16452 0
16454 0
16455 0
16457 0
13015 0
16338 0
12287 0
12290 0
16456 0
16474 0
16459 0
10917 0
11576 0
1137 3
1184 0
16638 0
16639 0
16640 0
16663 0
16879 0
16876 0
1941 0
16453 0
16470 0
16472 0
16664 0
16665 0
16471 0
16473 0
12294 0
12295 0
16475 0
16484 0
1141 0
1185 3
1186 0
16907 0
1233 0
1229 0
1230 0
1232 0
1270 0
1990 0
16485 0
1991 0
1992 0
1993 0
1994 0
1995 0
2035 0
2037 0
2786 0
11612 0
12321 0
11589 0
1190 0
1998 0
2830 0
2040 0
2832 0
2869 0
2870 0
12324 0
12325 0
12326 0
12327 0
12358 0
11618 0
12355 0
12356 0
11651 0
2871 0
2873 0
2874 0
3688 0
3689 0
3690 0
3718 0
11650 0
11652 0
11654 0
12359 0
12360 0
12363 0
12403 0
13096 0
11018 0
11690 0
3693 0
3719 0
12406 0
4513 0
4514 0
12362 0
44558 0
45278 0
11691 0
44435 0
11693 0
11736 0
12404 0
44497 0
45219 0
44556 0
44557 0
12407 0
45220 0
16458 0
16647 0
16650 3
16652 0
16461 0
16465 0
16476 0
16477 0
16479 0
16651 0
16672 0
16654 0
16676 0
10918 0
16483 3
16482 0
39216 3
16881 0
16911 0
16668 0
16478 0
16486 0
16669 0
16673 0
16674 0
16684 0
16688 0
16690 0
16487 0
16488 0
17198 0
1187 0
16908 0
16910 0
16930 0
17199 0
17200 0
17222 0
17223 0
16666 0
1231 0
16683 0
16931 0
16932 0
16933 0
16934 0
16685 0
1271 0
1307 0
1308 0
2038 0
16686 0
16695 0
16936 0
16947 0
11587 0
2036 0
10927 0
11588 2
16696 0
37058 0
37756 0
37057 0
10347 0
10947 0
37056 0
37085 2
37055 0
9833 2
10345 2
10368 0
37084 0
645 0
675 0
1191 0
1234 0
17221 0
17567 0
676 0
16946 0
1236 0
1272 0
1274 0
1275 0
1277 0
1309 0
1310 0
1312 0
1313 0
2039 0
2042 0
1341 0
2076 0
2077 0
2078 0
2079 0
2081 0
11613 0
11616 0
36498 0
36518 0
36497 0
36473 0
10948 0
10950 0
11649 0
36517 0
36516 0
36494 0
10369 2
10371 2
10372 2
10978 2
10979 2
10403 2
36511 0
36526 0
677 0
1239 0
1242 0
1316 0
2043 0
2080 0
2110 0
2872 0
2907 0
